Trial Number,Participant,Response,ResponsePeriodOnset,RT,Seed,Cue Frequency,Cue Frequency Range,Choice Frequency,Choice Frequency Range,Coherence
0,fr,same,19.375326900044456,54.59584550000727,12345,4000.0,0.5,8000.0,0.5,0.9
1,fr,diff,80.59245730005205,140.28973239997867,12345,4000.0,0.5,4000.0,0.5,0.9
2,fr,diff,227.17343620001338,2791.0975502000074,12345,4000.0,0.5,8000.0,0.5,0.9
3,fr,diff,3020.522894200054,1.5282800999702886,12345,4000.0,0.5,4000.0,0.5,0.9
4,fr,same,3028.3282773000537,7.618178099975921,12345,4000.0,0.5,8000.0,0.5,0.9
5,fr,diff,3042.2157801000285,0.6884985999786295,12345,4000.0,0.5,4000.0,0.5,0.9
6,fr,same,3049.1635033000493,1.0124335999717005,12345,4000.0,0.5,4000.0,0.5,0.9
7,fr,same,3052.5171803000267,0.9926426999736577,12345,4000.0,0.5,4000.0,0.5,0.9
8,fr,same,3055.805184800003,1.3471398000256158,12345,4000.0,0.5,8000.0,0.5,0.9
9,fr,same,3063.4366431000526,0.8310679999995045,12345,4000.0,0.5,8000.0,0.5,0.9
10,fr,same,3070.538289500051,1.3201271999860182,12345,4000.0,0.5,4000.0,0.5,0.9
11,fr,diff,3074.1334764000494,0.8704809999908321,12345,4000.0,0.5,8000.0,0.5,0.9
12,fr,diff,3077.296898600005,0.5874752000090666,12345,4000.0,0.5,8000.0,0.5,0.9
13,fr,diff,3080.1462131000008,0.6782709000399336,12345,4000.0,0.5,8000.0,0.5,0.9
14,fr,same,3083.0740919000236,0.8199674999923445,12345,4000.0,0.5,4000.0,0.5,0.9
15,fr,same,3086.169312000042,1.0024167000083253,12345,4000.0,0.5,8000.0,0.5,0.9
16,fr,same,3093.451248200028,1.2102067000232637,12345,4000.0,0.5,4000.0,0.5,0.9
17,fr,same,3096.9737414000556,1.062814199947752,12345,4000.0,0.5,4000.0,0.5,0.9
18,fr,same,3100.3351304000244,0.7288387999869883,12345,4000.0,0.5,4000.0,0.5,0.9
19,fr,same,3103.3786704000086,0.7497516000294127,12345,4000.0,0.5,8000.0,0.5,0.9
20,fr,same,3110.4698528000154,0.6685215000179596,12345,4000.0,0.5,8000.0,0.5,0.9
